,Date,Team,Acquired,Relinquished,Notes
0,1951-12-25,Bullets,, Don Barksdale,placed on IL
1,1952-12-26,Knicks,, Max Zaslofsky,placed on IL with torn side muscle
2,1956-12-29,Knicks,, Jim Baechtold,placed on inactive list
3,1959-01-16,Lakers,, Elgin Baylor,player refused to play after being denied a room in team's hotel
4,1961-11-26,Lakers,, Elgin Baylor,player reported for military duty
7,1962-10-25,Zephyrs,, Al Ferrari,placed on disabled list
9,1962-11-14,Zephyrs,, Al Ferrari,placed on disabled list with knee injury
10,1965-09-11,Pistons,, Terry Dischinger,service in army (date approximate)
11,1969-10-15,Bucks,, Bob Greacen,placed on IL with sprained ankle
13,1969-12-03,Bucks,, John Arthurs,deployed to National Guard for remainder of the season
14,1970-01-24,Bucks,, Guy Rodgers,placed on IL with torn leg muscle
15,1971-09-15,Colonels (ABA),, Jim Welch / Poo Welch,placed on IL
18,1972-10-10,Cavaliers,, Bobby Washington,placed on IL
19,1972-11-04,Cavaliers,, Rick Roberson,placed on IL with pulled hamstring
20,1972-11-10,Tams (ABA),, Merv Jackson,placed on IL
21,1972-11-11,Tams (ABA),, Randy Denton,placed on IL
24,1973-02-24,Kings,, John Green (a) / Johnny Green,placed on IL
28,1973-11-17,Kings,, Mike D'Antoni,placed on IL with fractured right hand
32,1974-03-27,Bucks,, Lucius Allen,placed on IL with torn cartilage in knee (out for season)
34,1974-10-16,Bucks,, Kareem Abdul-Jabbar / Lew Alcindor,placed on IL with fractured right hand and lacerated left eye
37,1974-10-28,Bucks,, Dick Cunningham,placed on IL
38,1974-10-28,Knicks,, Melvin Davis / Mel Davis,placed on IL with shoulder injury
41,1974-11-07,Spirits (ABA),, Bernie Fryer,placed on IL with torn thigh muscle
43,1974-11-21,Colonels (ABA),, Ted McClain,placed on IR with torn calf muscle
44,1974-12-05,Hawks,, Lou Hudson,placed on IL with right elbow inflammation
45,1975-01-23,Spirits (ABA),, Mike Barr,placed on IL with viral illness
48,1975-10-20,Braves,, Tom McMillen,placed on IL with bruised right heel
49,1975-10-22,76ers,, LeRoy Ellis,placed on IL
50,1975-10-22,Knicks,, Larry Fogle,placed on IL
51,1975-10-22,Pistons,, Terry Thomas,placed on IL
54,1976-01-17,Jazz,, Ron Behagen,placed on IL with hairline fracture below left eye (date approximate)
57,1976-10-20,76ers,, Clyde Lee,placed on IL
58,1976-10-20,76ers,, Mel Bennett,placed on IL
59,1976-10-20,Bucks,, Lloyd Walton,placed on IL
60,1976-10-20,Cavaliers,, Chuck Williams / Chuckie Williams (Leon),placed on IL
61,1976-10-20,Cavaliers,, Luke Witte,placed on IL
62,1976-10-20,Hawks,, Geoff Petrie,placed on IL
63,1976-10-20,Knicks,, Alfred Beard / Butch Beard,placed on IL
64,1976-10-20,Knicks,, Jim Barnett,placed on IL
65,1976-10-20,Pistons,, John Mengelt,placed on IL
66,1976-10-20,Sonics,, Dean Tolson,placed on IL
67,1976-10-20,Warriors,, Dwight Davis,placed on IL
68,1976-11-01,Lakers,, Stu Lantz,placed on IL (date approximate)
69,1976-11-10,Bucks,, Kevin Restani,placed on IL
71,1976-12-15,Bulls,, Jack Marin,placed on IL recovering from surgery to remove benign tumor in groin area
